"coord1" "coord2" "coord1.norm" "coord2.norm" "spotID" "histology" "histology_color"
"ST73" 13 26 0.749285714285714 1.34 "ST73" "Normal pancreatic tissue" "blue"
"ST74" 13 27 0.749285714285714 1.41115384615385 "ST74" "Interstitium" "green"
"ST75" 13 28 0.749285714285714 1.48230769230769 "ST75" "Cancer cells and desmoplasia" "red"
"ST76" 13 29 0.749285714285714 1.55346153846154 "ST76" "Cancer cells and desmoplasia" "red"
"ST77" 13 30 0.749285714285714 1.62461538461538 "ST77" "Cancer cells and desmoplasia" "red"
"ST78" 13 31 0.749285714285714 1.69576923076923 "ST78" "Cancer cells and desmoplasia" "red"
"ST79" 13 32 0.749285714285714 1.76692307692308 "ST79" "Interstitium" "green"
"ST80" 13 33 0.749285714285714 1.83807692307692 "ST80" "Interstitium" "green"
"ST81" 13 34 0.749285714285714 1.90923076923077 "ST81" "Interstitium" "green"
"ST82" 14 13 0.81 0.415 "ST82" "Normal pancreatic tissue" "blue"
"ST83" 14 14 0.81 0.486153846153846 "ST83" "Normal pancreatic tissue" "blue"
"ST84" 14 15 0.81 0.557307692307692 "ST84" "Normal pancreatic tissue" "blue"
"ST85" 14 16 0.81 0.628461538461538 "ST85" "Normal pancreatic tissue" "blue"
"ST86" 14 17 0.81 0.699615384615385 "ST86" "Normal pancreatic tissue" "blue"
"ST87" 14 18 0.81 0.770769230769231 "ST87" "Normal pancreatic tissue" "blue"
"ST88" 14 19 0.81 0.841923076923077 "ST88" "Interstitium" "green"
"ST89" 14 20 0.81 0.913076923076923 "ST89" "Interstitium" "green"
"ST90" 14 21 0.81 0.984230769230769 "ST90" "Interstitium" "green"
"ST91" 14 22 0.81 1.05538461538462 "ST91" "Interstitium" "green"
"ST92" 14 23 0.81 1.12653846153846 "ST92" "Interstitium" "green"
"ST93" 14 24 0.81 1.19769230769231 "ST93" "Normal pancreatic tissue" "blue"
"ST94" 14 25 0.81 1.26884615384615 "ST94" "Normal pancreatic tissue" "blue"
"ST95" 14 26 0.81 1.34 "ST95" "Normal pancreatic tissue" "blue"
"ST96" 14 27 0.81 1.41115384615385 "ST96" "Normal pancreatic tissue" "blue"
"ST97" 14 28 0.81 1.48230769230769 "ST97" "Cancer cells and desmoplasia" "red"
"ST98" 14 29 0.81 1.55346153846154 "ST98" "Cancer cells and desmoplasia" "red"
"ST99" 14 30 0.81 1.62461538461538 "ST99" "Cancer cells and desmoplasia" "red"
"ST100" 14 31 0.81 1.69576923076923 "ST100" "Cancer cells and desmoplasia" "red"
"ST101" 14 32 0.81 1.76692307692308 "ST101" "Cancer cells and desmoplasia" "red"
"ST102" 14 33 0.81 1.83807692307692 "ST102" "Cancer cells and desmoplasia" "red"
"ST103" 14 34 0.81 1.90923076923077 "ST103" "Interstitium" "green"
"ST104" 15 13 0.870714285714286 0.415 "ST104" "Normal pancreatic tissue" "blue"
"ST105" 15 14 0.870714285714286 0.486153846153846 "ST105" "Normal pancreatic tissue" "blue"
"ST106" 15 15 0.870714285714286 0.557307692307692 "ST106" "Normal pancreatic tissue" "blue"
"ST107" 15 16 0.870714285714286 0.628461538461538 "ST107" "Normal pancreatic tissue" "blue"
"ST108" 15 17 0.870714285714286 0.699615384615385 "ST108" "Normal pancreatic tissue" "blue"
"ST109" 15 18 0.870714285714286 0.770769230769231 "ST109" "Normal pancreatic tissue" "blue"
"ST110" 15 19 0.870714285714286 0.841923076923077 "ST110" "Interstitium" "green"
"ST111" 15 20 0.870714285714286 0.913076923076923 "ST111" "Interstitium" "green"
"ST112" 15 21 0.870714285714286 0.984230769230769 "ST112" "Interstitium" "green"
"ST113" 15 22 0.870714285714286 1.05538461538462 "ST113" "Interstitium" "green"
